collection,author,language,culture,source
french_laboulaye_en,Édouard Laboulaye (trans. Mary L. Booth),en,French,"Gutenberg #26386 — Laboulaye's Fairy Book (Laboulaye, 1866; trans. Booth)"
french_perrault_en,Charles Perrault,en,French,"Gutenberg #29021 — The Fairy Tales of Charles Perrault (Samber/Mansion trans., Harrap 1922)"
french_planche_en,J. R. Planché (trans.),en,French,"Gutenberg #52719 — Four and Twenty Fairy Tales (Planché trans., 1858): Perrault, Murat, La Force, Villeneuve, Caylus, Lubert, de Beaumont"
french_segur_en,Comtesse de Ségur,en,French,"Gutenberg #30129 — Old French Fairy Tales (Comtesse de Ségur, c1920 trans.)"
georgian_wardrop_en,Marjory Wardrop (trans.),en,Georgian,"Gutenberg #44536 — Georgian Folk Tales (Wardrop trans., 1894)"
greek_baldwin_en,James Baldwin,en,Greek mythology,"Gutenberg #11582 — Old Greek Stories (Baldwin, 1895)"
greek_roman_berens_en,E. M. Berens,en,Greek/Roman mythology,"Gutenberg #22381 — Myths and Legends of Ancient Greece and Rome (Berens, 1894)"
hawaiian_folk_tales_en,Thomas G. Thrum (ed.),en,Hawaiian,"Gutenberg #18450 — Hawaiian Folk Tales (Thrum ed., 1907)"
hawaiian_kalakaua_en,"King David Kalakaua (Hawaiian, indigenous author)",en,Hawaiian,"Gutenberg #56597 — The Legends and Myths of Hawaii (Kalakaua, 1888) — INDIGENOUS AUTHOR"
icelandic_hall_en,Mrs. Angus W. Hall,en,Icelandic,"Gutenberg #67085 — Icelandic Fairy Tales (Hall, 1897)"
indian_babbitt_jataka_en,Ellen C. Babbitt,en,Indian,"Gutenberg #62514 — Jataka Tales (Babbitt, 1912)"
indian_babbitt_more_en,Ellen C. Babbitt,en,Indian,"Gutenberg #7518 — More Jataka Tales (Babbitt, 1922)"
indian_bompas_en,Cecil Henry Bompas,en,Indian,"Gutenberg #11938 — Folklore of the Santal Parganas (Bompas, 1909)"
indian_campbell_en,A. Campbell,en,Indian,"Gutenberg #35060 — Santal Folk Tales (Campbell, 1891)"
indian_crooke_en,William Crooke and W. H. D. Rouse,en,Indian,"Gutenberg #30635 — The Talking Thrush, and Other Tales from India (Crooke & Rouse, 1899)"
indian_day_en,Lal Behari Day,en,Indian,"Gutenberg #38488 — Folk-Tales of Bengal (Day, 1883)"
indian_deccan_nursery_en,C. A. Kincaid,en,Indian,"Gutenberg #11167 — Deccan Nursery Tales; or, Fairy Tales from the South (Kincaid, 1914)"
indian_dracott_en,Alice Elizabeth Dracott,en,Indian,"Gutenberg #58816 — Simla Village Tales; or, Folk Tales from the Himalayas (Dracott, 1906)"
indian_frere_en,Mary Frere,en,Indian,"Gutenberg #36696 — Old Deccan Days; or, Hindoo Fairy Legends (Frere, 1868)"
indian_goblins_en,Arthur W. Ryder,en,Indian,"Gutenberg #2290 — Twenty-Two Goblins (Ryder, tr. from Sanskrit, 1917)"
indian_hindu_sanskrit_en,S. M. Mitra & Mrs. Arthur Bell,en,Indian,"Gutenberg #11310 — Hindu Tales from the Sanskrit (Mitra & Bell, 1919)"
indian_jacobs_en,Joseph Jacobs,en,Indian,"Gutenberg #7128 — Indian Fairy Tales (Jacobs, 1892)"
indian_kincaid_en,C. A. Kincaid,en,Indian,"Gutenberg #76982 — Folk Tales of Sind and Guzarat (Kincaid, 1925)"
indian_kingscote_en,Georgiana Kingscote and S. M. Natesa Sastri,en,Indian,"Gutenberg #37002 — Tales of the Sun; or, Folklore of Southern India (Kingscote & Natesa Sastri, 1890)"
indian_magic_bed_en,Hartwell James,en,Indian,"Gutenberg #37708 — The Magic Bed: A Book of East Indian Fairy-Tales (James, 1906)"
indian_rouse_en,W. H. D. Rouse,en,Indian,"Gutenberg #36039 — The Giant Crab, and Other Tales from Old India (Rouse, 1897)"
indian_steel_en,Flora Annie Steel,en,Indian,"Gutenberg #6145 — Tales of the Punjab: Folklore of India (Steel, 1894)"
indian_stokes_en,Maive Stokes,en,Indian,"Wikisource — Indian Fairy Tales (Stokes, 1879)"
indian_tibetan_en,F. A. von Schiefner & W. R. S. Ralston,en,Indian,"Gutenberg #66870 — Tibetan Tales, Derived from Indian Sources (Schiefner & Ralston, 1882)"
indian_vikram_en,Richard F. Burton,en,Indian,"Gutenberg #2400 — Vikram and the Vampire: Classic Hindu Tales (Burton, 1870)"
irish_croker_en,T. Crofton Croker,en,Irish,"Gutenberg #39752 — Fairy Legends and Traditions of the South of Ireland (Croker, 1825)"
irish_jacobs_celtic_en,Joseph Jacobs,en,Irish,"Gutenberg #35862 — Celtic Folk and Fairy Tales (Jacobs, 1892)"
irish_jacobs_more_en,Joseph Jacobs,en,Irish,"Gutenberg #34453 — More Celtic Fairy Tales (Jacobs, 1894)"
irish_larminie_en,William Larminie,en,Irish,"Gutenberg #57858 — West Irish Folk-Tales and Romances (Larminie, 1893)"
irish_yeats_folk_en,W. B. Yeats (ed.),en,Irish,"Gutenberg #33887 — Fairy and Folk Tales of the Irish Peasantry (Yeats ed., 1888)"
italian_basile_en,Giambattista Basile (trans. anon.),en,Italian,"Gutenberg #2198 — Stories from the Pentamerone (Basile, orig. 1634; trans. pre-1929)"
italian_busk_en,Rachel Harriette Busk,en,Italian,"Gutenberg #48771 — Roman Legends: Fables and Folk-lore of Rome (Busk, 1877)"
italian_crane_en,Thomas Frederick Crane,en,Italian,"Gutenberg #23634 — Italian Popular Tales (Crane, 1885)"
italian_straparola_v1_en,"Giovanni Francesco Straparola (trans. W. G. Waters, 1894)",en,Italian,"Gutenberg #75257 — The Nights of Straparola Vol. 1 (Waters trans., Lawrence & Bullen 1894)"
japanese_james_en,Grace James,en,Japanese,"Gutenberg #35853 — Green Willow and Other Japanese Fairy Tales (James, 1910)"
japanese_ozaki_en,Yei Theodora Ozaki,en,Japanese,"Gutenberg #4018 — Japanese Fairy Tales (Ozaki, 1908)"
korean_fairy_tales_en,William Elliot Griffis,en,Korean,"Gutenberg #67180 — Korean Fairy Tales (Griffis, 1922)"
korean_folk_tales_en,Im Bang & Yi Ryuk (trans. James Gale),en,Korean,"Gutenberg #51002 — Korean Folk Tales: Imps, Ghosts and Fairies (Gale trans., 1913)"
norse_guerber_en,H. A. Guerber,en,Norse mythology,"Gutenberg #28497 — Myths of the Norsemen from the Eddas and Sagas (Guerber, 1909)"
north_american_folklore_en,Anon. (Various),en,North American Indigenous,Gutenberg #22072 — Folk-Lore and Legends: North American Indian (c1891)
norwegian_dasent_en,"Asbjørnsen & Moe (trans. G. W. Dasent, 1859)",en,Norwegian,"Gutenberg #8933 — Popular Tales from the Norse (Dasent, 1859)"
norwegian_fjeld_en,"Asbjørnsen (trans. G. W. Dasent, 1874)",en,Norwegian,"Gutenberg #36385 — Tales from the Fjeld (Dasent, 1874)"
persian_bakhtyar_en,trans. William Alexander Clouston,en,Persian,"Gutenberg #60316 — The Bakhtyar Nama: A Persian Romance (Clouston, 1883)"
persian_catmouse_en,Anon. (Altemus Fairy Tales Series),en,Persian,Gutenberg #24473 — The Cat and the Mouse: A Book of Persian Fairy Tales (1900s)
persian_levy_en,Reuben Levy,en,Persian,"archive.org threedervischeso00levyuoft OCR — The Three Dervishes and other Persian Tales (Levy, 1923)"
persian_lorimer_en,D. L. R. & E. O. Lorimer,en,Persian,"archive.org cu31924029903881 OCR — Persian Tales (Lorimer & Lorimer, 1919)"
philippine_folk_tales_en,Clara Kern Bayliss et al.,en,Filipino,"Gutenberg #12814 — Philippine Folk-Tales (Bayliss et al., 1908)"
polish_biggs_en,Maude Ashurst Biggs (trans. from Gliński),en,Polish,"Gutenberg #36668 — Polish Fairy Tales (Biggs, 1920)"
portuguese_eells_azores_en,Elsie Spicer Eells,en,Portuguese,"Gutenberg #34431 — The Islands of Magic: Legends, Folk and Fairy Tales from the Azores (Eells, 1922)"
romanian_bird_beast_en,M. Gaster (trans.),en,Romanian,"Gutenberg #43059 — Rumanian Bird and Beast Stories (Gaster, 1915)"
romanian_kremnitz_en,Mite Kremnitz (trans.),en,Romanian,"Gutenberg #20552 — Roumanian Fairy Tales (Kremnitz, 1885)"
russian_blumenthal_en,Verra Xenophontovna Kalamatiano de Blumenthal,en,Russian,"Gutenberg #12851 — Folk Tales from the Russian (Blumenthal, 1903)"
russian_polevoi_en,R. Nisbet Bain (trans. from Polevoi),en,Russian,"Gutenberg #34705 — Russian Fairy Tales from the Skazki of Polevoi (Bain trans., 1894)"
russian_ralston_en,W. R. S. Ralston,en,Russian,"Gutenberg #22373 — Russian Fairy Tales (Ralston, 1873)"
russian_story_book_en,Richard Wilson,en,Russian,"Gutenberg #48605 — The Russian Story Book (Wilson, 1916)"
scottish_campbell_en,John Gregorson Campbell,en,Scottish,"Gutenberg #67609 — Clan Traditions and Popular Tales of the Western Highlands (Campbell, 1895)"
scottish_grierson_en,auto,en,auto,Gutenberg #37532 — The Scottish Fairy Book (Grierson 1910)
shan_griggs_en,William C. Griggs,en,Shan (Burma),"Gutenberg #32375 — Shan Folk Lore Stories from the Hill and Water Country (Griggs, 1902)"
slavic_sixty_en,R. Nisbet Bain (trans.),en,Slavic,"Gutenberg #48761 — Sixty Folk-Tales from Exclusively Slavonic Sources (Bain, 1894)"
south_african_honey_en,James A. Honey,en,South African (Bushmen/San),"Gutenberg #38339 — South-African Folk Tales (Honey, 1910)"
spanish_busk_en,R. H. Busk,en,Spanish,"Gutenberg #45859 — Patrañas; or, Spanish Stories, Legendary and Traditional (Busk, 1870)"
spanish_eells_en,Charles Sellers (trans.),en,Spanish,"Gutenberg #31481 — Tales from the Lands of Nuts and Grapes: Spanish and Portuguese Folklore (Sellers, 1888)"
spanish_munoz_en,"José Muñoz Escámez (trans. anon., 1913)",en,Spanish,"Gutenberg #43212 — Fairy Tales from Spain (Muñoz Escámez, 1913)"
swedish_hofberg_en,auto,en,auto,Gutenberg #73093 — Swedish Fairy Tales (Hofberg 1893)
swedish_stroebe_en,auto,en,auto,Gutenberg #37193 — The Swedish Fairy Book (Stroebe 1921)
tibetan_folktales_en,A. L. Shelton,en,Tibetan,"Gutenberg #75000 — Folk Tales from Tibet (Shelton, 1925)"
turkish_bain_en,R. Nisbet Bain (trans. from Kúnos),en,Turkish,"Gutenberg #64807 — Turkish Fairy Tales and Folk Tales (Bain trans., 1901)"
welsh_guest_en,Lady Charlotte Guest (trans.),en,Welsh,"Gutenberg #5160 — The Mabinogion (Guest trans., 1849)"
west_african_barker_en,W. H. Barker & Cecilia Sinclair,en,West African (Akan/Anansi),"Gutenberg #66923 — West African Folk-Tales (Barker & Sinclair, 1917)"
